date,solar,wind_onshore,wind_offshore
2015-01-01,17098,251107,8667
2015-01-02,7757,593022,10533
2015-01-03,7237,450829,12125
2015-01-04,19982,373525,11500
2015-01-05,26522,209086,7454
2015-01-06,32888,110037,7190
2015-01-07,17114,216457,10746
2015-01-08,8599,427995,12320
2015-01-09,6822,632986,8744
2015-01-10,20473,628324,6349
2015-01-11,19811,620644,9734
2015-01-12,11025,620270,11562
2015-01-13,50283,502957,8772
2015-01-14,18106,397681,9300
2015-01-15,17155,544353,12121
2015-01-16,22818,238868,10457
2015-01-17,21405,126199,11517
2015-01-18,31259,122394,4820
2015-01-19,23681,31123,499
2015-01-20,10791,15412,1327
2015-01-21,22120,48051,2339
2015-01-22,12119,61110,1184
2015-01-23,7015,33712,4877
2015-01-24,9834,145114,11878
2015-01-25,11570,103288,8420
2015-01-26,10596,216961,14631
2015-01-27,17573,257659,10973
2015-01-28,16581,427861,13836
2015-01-29,27784,389987,10419
2015-01-30,13463,87912,1655
2015-01-31,20211,132018,1937
2015-02-01,24680,115581,6234
2015-02-02,20268,189232,8171
2015-02-03,27530,89645,7507
2015-02-04,31951,37449,2767
2015-02-05,29040,122052,5466
2015-02-06,46341,166694,1851
2015-02-07,46829,269859,14363
2015-02-08,52428,389393,16031
2015-02-09,15049,365348,17160
2015-02-10,24126,135818,9981
2015-02-11,28011,25433,721
2015-02-12,40588,23499,976
2015-02-13,64531,87751,8353
2015-02-14,67185,106444,10783
2015-02-15,60940,185413,17432
2015-02-16,60863,192126,12411
2015-02-17,40310,60045,4903
2015-02-18,40084,118750,15509
2015-02-19,62936,225173,17889
2015-02-20,79745,320733,11547
2015-02-21,49620,266487,4345
2015-02-22,52148,148093,14886
2015-02-23,28047,348762,17003
2015-02-24,50806,299262,18294
2015-02-25,72249,100087,6959
2015-02-26,106263,167158,10345
2015-02-27,65845,130750,5371
2015-03-01,36689,430394,19541
2015-03-02,65601,492053,18421
2015-03-03,101146,415401,15449
2015-03-04,70464,360881,18940
2015-03-05,68653,153254,11569
2015-03-06,65591,121406,16297
2015-03-07,114555,248948,20253
2015-03-08,134967,184409,18107
2015-03-09,118812,66175,8306
2015-03-10,97029,129340,16188
2015-03-11,114654,119280,4955
2015-03-12,104666,68485,5943
2015-03-13,85052,137272,16054
2015-03-14,41484,129673,17545
2015-03-15,63374,223474,19837
2015-03-16,117274,313330,21391
2015-03-17,131460,175066,11854
2015-03-18,149835,111503,2434
2015-03-19,135883,39112,5894
2015-03-20,123325,28754,7207
2015-03-21,75309,146996,17025
2015-03-22,87082,127124,4967
2015-03-23,113186,52200,14701
2015-03-24,117003,22272,1292
2015-03-25,97624,133568,8456
2015-03-26,38512,107208,13063
2015-03-27,76243,211217,8078
2015-03-28,115419,196568,18016
2015-03-29,37867,489048,22226
2015-03-30,90400,485472,27671
2015-03-31,69417,603160,21514
2015-04-01,98713,546519,24537
2015-04-02,81689,397009,21494
2015-04-03,140233,153883,7562
2015-04-04,96847,82052,6610
2015-04-05,151390,69869,2467
2015-04-06,111568,75776,1164
2015-04-07,159792,146197,9646
2015-04-08,125823,72569,6210
2015-04-09,175447,24328,375
2015-04-10,180738,42802,2071
2015-04-11,112848,331209,20588
2015-04-12,159131,273150,27183
2015-04-13,144957,317312,17481
2015-04-14,168193,190797,26084
2015-04-15,193769,265788,24737
2015-04-16,147322,125475,11672
2015-04-17,104330,135277,16383
2015-04-18,169880,76060,8718
2015-04-19,198883,46492,4606
2015-04-20,205496,107296,6083
2015-04-21,206990,207834,20206
2015-04-22,160094,88227,17525
2015-04-23,175935,47429,4593
2015-04-24,199568,53223,5863
2015-04-25,94440,127188,23086
2015-04-26,128816,64337,2798
2015-04-27,115393,125961,7845
2015-04-28,106756,117576,16410
2015-04-29,188720,131142,22147
2015-04-30,131623,139740,10946
2015-05-01,103280,59475,4359
2015-05-02,143596,36976,3343
2015-05-03,88596,201837,27968
2015-05-04,138406,174566,23185
2015-05-05,107216,345675,34888
2015-05-06,145295,272666,33086
2015-05-07,162956,238138,22352
2015-05-08,176128,45549,6991
2015-05-09,113681,255662,34347
2015-05-10,181403,221820,18900
2015-05-11,189041,141322,24353
2015-05-12,161220,256382,23781
2015-05-13,177509,194397,29365
2015-05-14,145417,67517,10121
2015-05-15,145868,51104,4027
2015-05-16,138180,173776,19434
2015-05-17,149478,207277,20638
2015-05-18,182097,139434,17523
2015-05-19,125100,223567,17643
2015-05-20,105493,81472,11334
2015-05-21,140320,62730,6522
2015-05-22,176993,31316,10097
2015-05-23,119796,63176,7675
2015-05-24,143267,16468,5969
2015-05-25,113395,67441,6641
2015-05-26,110496,126857,20477
2015-05-27,117912,113912,11371
2015-05-28,165645,227019,29656
2015-05-29,147592,143876,20989
2015-05-30,140754,224915,29929
2015-05-31,155474,253246,30411
2015-06-01,132070,125807,21571
2015-06-02,154353,447371,31143
2015-06-03,177704,292002,24338
2015-06-04,218298,53447,2698
2015-06-05,216421,137325,19811
2015-06-06,181010,159215,24872
2015-06-07,186590,92096,17140
2015-06-08,119035,143637,16468
2015-06-09,97876,96104,10707
2015-06-10,143396,74916,9792
2015-06-11,172319,53804,4949
2015-06-12,199815,46991,9432
2015-06-13,143342,120335,23469
2015-06-14,166148,99970,14379
2015-06-15,133095,93783,18998
2015-06-16,137920,77294,13038
2015-06-17,192865,95405,32247
2015-06-18,87712,189259,34698
2015-06-19,104664,183735,34922
2015-06-20,107569,122156,13330
2015-06-21,107639,68456,11607
2015-06-22,90985,116841,5719
2015-06-23,126520,180323,26861
2015-06-24,132832,152513,24857
2015-06-25,175959,40345,2341
2015-06-26,157911,28890,2976
2015-06-27,112503,159001,7766
2015-06-28,186138,51531,11869
2015-06-29,182150,47612,4879
